title,author,link,date,edition,edition_link,resumo_link,pdf_link,fonte,termo
A Técnica Delphi e Análise de Conteúdo como Estratégias de Obtenção do Consenso em dinâmicas de design participativo,"Marli Everling, Claudia Renata Mont'Alvão",https://www.ufrgs.br/det/index.php/det/article/view/539,Data não informada,,,,,,
Uma  abordagem sobre a hedonomia e o usuário,"Iara Margolis Ribeiro, Bernardo Providência, Walter  Franklin Marques Correia",https://www.ufrgs.br/det/index.php/det/article/view/913,Data não informada,,,,,,
Estudo da influência das dimensões dos metatarsos no conforto dos calçados femininos: o caso da cidade de Campina Grande - PB,"Carolina Ângelo Jerônimo Domingues, Luiz Felipe de Almeida Lucena",https://www.ufrgs.br/det/index.php/det/article/view/364,Data não informada,,,,,,
WaveTactile: Estímulo sensorial tátil na interação de usuários cegos na interface do forno micro-ondasTactile sensory stimulation in the interaction of blind users in microwaves,"Tainá Apoena Bueno de Oliveira, Milton Cinelli, Milton Luiz Horn Vieira, Gabriel de Souza Prim",https://www.ufrgs.br/det/index.php/det/article/view/1019,Data não informada,,,,,,
Modelo de apoio à seleção tipográfica no contexto do design editorial,"Mary Vonni Meurer, Berenice Santos Gonçalves",https://www.ufrgs.br/det/index.php/det/article/view/575,Data não informada,,,,,,
A representação do corpo e do movimento: uma análise da interatividade do motion capture,"Gabriel de Souza Prim, Berenice Santos Gonçalves, Milton Luiz Horn Vieira",https://www.ufrgs.br/det/index.php/det/article/view/259,Data não informada,,,,,,
"Turismo inclusivo: uma proposta de inserção social dos cegos, por meio da fotografia multissensorial","Jonas Pôrto, João Eduardo Chagas  Sobral, Anna Cavalcanti",https://www.ufrgs.br/det/index.php/det/article/view/868,Data não informada,,,,,,
Inovação e pesquisa em design nas universidades brasileiras,"Danilo Corrêa Silva, Galdenoro Botura Júnior, Luis Carlos Paschoarelli",https://www.ufrgs.br/det/index.php/det/article/view/182,Data não informada,,,,,,
Utilização do displacement map na criação de recursos auxiliares à educação inclusiva para Pessoas com Deficiência Visual,"Hércules Manoel Monteiro Silva, Lucas José Garcia",https://www.ufrgs.br/det/index.php/det/article/view/1006,Data não informada,,,,,,
Design de jogo de tabuleiro para auxílio na Reabilitação Cognitiva de idosos com Doença de Alzheimer: uma aplicação do Duplo Diamantea design contribution,"Bárbara Drews Wayhs, Luis Carlos  Paschoarelli",https://www.ufrgs.br/det/index.php/det/article/view/1011,Data não informada,,,,,,
Celebrando 30 Anos de Estudos em Design,Cristina Portugal,,,"v. 31, n. 3 (2023): Celebrando 30 Anos de Estudos em Design",https://estudosemdesign.emnuvens.com.br/design/issue/view/69,https://estudosemdesign.emnuvens.com.br/design/article/view/1805,Sem PDF,Estudos em Design,inteligência artificial
Experiência do usuário e design de interação:uma análise bibliométrica de publicações acadêmicas,"Vanessa Marques Paes, Claudia Polimeno, Cora Soares Souza , Jessica Priscila de Sousa Costa, Renata  Maciel de Andrade, Ricardo Gaspar",https://www.infodesign.org.br/infodesign/article/view/906,2022-04-04,,,,,InfoDesign,inteligência artificial
Storytelling in data visualization: information bias,"Jaqueline Vasconcelos Braga, Tiago Barros Pontes e Silva",https://www.infodesign.org.br/infodesign/article/view/900,2021-12-21,,,,,InfoDesign,inteligência artificial
Focus Group as a method for evaluating the usability of the Runway video editing platform,"José Guilherme Santa Rosa, Isis Tatiane de Barros Macêdo Veloso, Gustavo André Falcão Peixoto, Diego Ygor  Silva e Santos, João Pedro Morais Guedes",https://www.infodesign.org.br/infodesign/article/view/1138,2024-10-15,,,,,InfoDesign,inteligência artificial
A cognição no processo de Design,Tiago Barros Pontes e Silva,https://www.infodesign.org.br/infodesign/article/view/359,2015-12-30,,,,,InfoDesign,inteligência artificial
Contributions of remote collaborative sketching to the design of infovis in public health,"Leandro Manuel Reis Velloso, Mailson Fontes de Carvalho, Gabriela Momberg Araújo, Johne Marcus Jarske, Luciano Anísio Garcia, Luiz Sérgio de Souza, Marcia Ito, Solange Nice Alves-Souza, Tânia Letícia dos Santos, Henrique Mathias Fernandes, Lucia Vilela Leite Filgueiras",https://www.infodesign.org.br/infodesign/article/view/1046,2023-06-23,,,,,InfoDesign,inteligência artificial
Data visualization for the promotion of women’s rights: an analysis of the charts from the Woman Violence and Femicide Observatory,"Helena Callaça Gadioli Farage, Dara Costa Rattes, Lourdes Yamila Quintero Rojas, Virgínia Tiradentes Souto, Tiago Barros Pontes e Silva",https://www.infodesign.org.br/infodesign/article/view/1143,2024-10-07,,,,,InfoDesign,design thinking
Infographic Project: experience report on teaching Information Design in a Vocational High School,"Christiane Mello Guimarães de Oliveira, Bruno Ferraz de Melo, Mônica Maria Ferreira da Costa",https://www.infodesign.org.br/infodesign/article/view/1100,2023-11-07,,,,,InfoDesign,design thinking
The use of design techniques in the creative process of new designers,"Caroline Reichow Tuchtenhagen, Thiovane da Rosa Pereira, Jocelise Jacques de Jacques, Fabiano de Vargas Scherer, Eduardo Cardoso",https://www.infodesign.org.br/infodesign/article/view/1162,2024-12-06,,,,,InfoDesign,design thinking
Ellen Lupton,Stephania Padovani,https://www.infodesign.org.br/infodesign/article/view/35,2010-09-20,,,,,InfoDesign,design thinking
Design de notícias no curso de Jornalismo: uma experiência de ensino a partir do design da informação | News design in Journalism undergraduate course: a teaching experience through the information design,"Elane Abreu de Oliveira, Juliana Lotif Araújo",https://www.infodesign.org.br/infodesign/article/view/606,2017-10-29,,,,,InfoDesign,design thinking
É possível aperfeiçoar nosso pensamento visual? Uma experiência didática em graduação de Design | Is it possible to improve our visual thinking? A didactic experience in Graphic Design undergraduate degree,Juliana Bueno,https://www.infodesign.org.br/infodesign/article/view/842,2020-12-31,,,,,InfoDesign,design thinking
Pensar Infográfico: uma proposta de ensino introdutório de infografia sob a perspectiva da linguagem gráfica | Pensar Infográfico (Thinking Infographics): a proposal of introductory teaching of infographics from the perspective of graphic language,"Fabiano de Miranda, Rafael de Castro Andrade",https://www.infodesign.org.br/infodesign/article/view/567,2017-12-31,,,,,InfoDesign,design thinking
